"Purpose","Color","Hex Code"
"Background","White","#FFFFFF"
"Primary","Deep Navy","#222222"
"Accent","Tomato Orange","#e95d2a"
"Accent 2","Cool Grey","#f4f4f6"
"CTA/Button","Soft Blue","#51e2f5"
